SimulationID,MTTA
1,37.135133
2,36.783870
3,46.266404
4,43.668515
5,44.476812
6,54.149878
7,64.038652
8,59.799725
9,63.963329
10,47.749361
11,56.510263
12,40.009214
13,50.913343
14,31.806551
15,66.871630
16,66.954345
17,47.281818
18,70.513695
19,35.783592
20,41.058530
21,53.479504
22,31.642296
23,64.022635
24,40.431270
25,33.449206
26,60.746308
27,42.376491
28,46.558205
29,52.616293
30,47.922575
31,64.398185
32,63.965723
33,54.205367
34,33.123763
35,42.950135
36,54.170349
37,45.764436
38,46.549390
39,44.205096
40,69.708266
41,52.465323
42,26.782599
43,55.782161
44,53.926000
45,45.256345
46,28.848767
47,42.562043
48,42.780711
49,59.285399
50,36.216747
51,49.970942
52,29.248354
53,57.598646
54,38.367442
55,61.723857
56,57.389615
57,40.938555
58,55.769278
59,49.617624
60,44.873267
61,29.645171
62,32.476862
63,43.645758
64,58.011417
65,42.105438
66,56.569322
67,52.229235
68,54.448887
69,50.918856
70,35.327869
71,24.752699
72,31.395015
73,34.864767
74,55.823212
75,62.715550
76,34.614219
77,41.402836
78,36.951141
79,58.890505
80,56.405975
81,40.671893
82,56.676725
83,44.250400
84,52.997114
85,38.804263
86,58.336128
87,37.353711
88,38.503249
89,58.212240
90,46.214014
91,61.729529
92,32.478967
93,47.766350
94,43.558790
95,45.831460
96,47.092734
97,59.266073
98,29.193681
99,34.725338
100,60.783960
101,46.414997
102,38.834423
103,58.664978
104,49.436297
105,34.802833
106,33.226852
107,54.702362
108,55.966811
109,54.789681
110,48.163454
111,40.733284
112,33.950160
113,39.124860
114,58.900726
115,45.655700
116,42.633103
117,51.102419
118,44.685403
119,56.381399
120,46.259210
121,29.601404
122,64.691650
123,48.635375
124,50.364934
125,50.898369
126,56.412577
127,52.787762
128,53.344487
129,45.041829
130,62.791123
131,45.770166
132,51.358858
133,57.261098
134,29.716700
135,54.588074
136,55.213419
137,42.064000
138,46.044384
139,47.542040
140,43.143835
141,45.024741
142,44.281091
143,39.674420
144,47.004474
145,43.764223
146,46.578699
147,68.167939
148,58.187993
149,64.512800
150,34.193846
151,56.117412
152,39.735483
153,35.648224
154,64.595728
155,33.468373
156,35.373902
157,61.010544
158,42.539884
159,46.098936
160,45.364007
161,61.666169
162,54.171603
163,46.372900
164,49.782647
165,54.432648
166,48.586958
167,49.399877
168,33.743763
169,54.324855
170,45.798063
171,55.579239
172,45.771773
173,41.677859
174,52.631719
175,51.904544
176,69.612344
177,71.130013
178,47.187443
179,58.974041
180,42.956259
181,56.223170
182,41.329126
183,42.527935
184,57.346664
185,47.480762
186,54.372489
187,42.337348
188,49.945007
189,39.897711
190,59.437979
191,43.525466
192,38.145692
193,73.438745
194,53.205102
195,37.702408
196,41.323840
197,60.342620
198,23.378377
199,56.778886
200,60.134991
201,58.779083
202,75.142671
203,52.272837
204,38.049953
205,50.636337
206,49.739419
207,47.656745
208,57.249973
209,47.182168
210,43.638933
211,44.561507
212,47.927655
213,41.141291
214,44.159417
215,50.444952
216,36.803564
217,73.856387
218,38.398737
219,48.966363
220,49.664803
221,58.332850
222,54.628574
223,61.919855
224,38.985348
225,34.799609
226,40.455151
227,58.921694
228,44.057567
229,41.942524
230,64.267347
231,44.137683
232,60.902841
233,51.129376
234,26.472284
235,41.516811
236,52.097407
237,37.791317
238,40.132791
239,39.018293
240,33.675916
241,40.760622
242,28.469829
243,65.658201
244,59.164940
245,58.517197
246,54.939095
247,40.719358
248,35.512081
249,53.487896
250,57.845604
251,59.732492
252,38.980646
253,75.011013
254,67.275435
255,59.725600
256,41.307273
257,50.708104
258,50.006163
259,44.295589
260,46.362912
261,53.604340
262,60.256445
263,50.124047
264,54.362465
265,56.162226
266,37.895773
267,71.388088
268,68.830514
269,70.001869
270,56.773614
271,48.141280
272,44.194056
273,56.225500
274,28.404645
275,65.149401
276,60.797334
277,55.072791
278,45.612506
279,66.882079
280,55.937686
281,34.959287
282,56.712506
283,54.470727
284,54.814223
285,43.024163
286,61.504823
287,37.691103
288,57.306099
289,46.546520
290,39.377973
291,53.399991
292,47.512888
293,52.081188
294,44.312199
295,67.564413
296,41.990085
297,54.872514
298,43.837799
299,49.705520
300,41.166910
301,34.969768
302,53.463190
303,52.354944
304,46.559724
305,57.463148
306,58.552712
307,41.849902
308,34.140244
309,39.298337
310,48.159325
311,36.588314
312,39.846832
313,67.766277
314,48.433575
315,33.501032
316,46.874814
317,40.732921
318,51.211451
319,41.793561
320,62.629276
321,48.755967
322,47.256260
323,47.016853
324,65.821388
325,61.649903
326,41.689536
327,49.415450
328,39.465758
329,53.501644
330,42.800819
331,37.798272
332,61.363823
333,34.981329
334,36.260019
335,65.544892
336,50.144543
337,37.670148
338,32.391522
339,72.133027
340,59.342229
341,24.431844
342,38.104390
343,52.595947
344,53.652488
345,46.160547
346,40.979126
347,40.342454
348,50.038187
349,62.966079
350,41.208545
351,41.245765
352,57.806898
353,58.105486
354,35.188726
355,36.927000
356,45.061806
357,52.851800
358,56.965118
359,58.579025
360,58.840847
361,33.613818
362,41.487555
363,50.932166
364,37.488881
365,42.387081
366,61.868058
367,61.802705
368,45.430354
369,39.195995
370,44.820824
371,56.386138
372,38.896611
373,43.100847
374,30.852543
375,40.950791
376,76.675223
377,56.858855
378,51.979004
379,43.196453
380,60.356317
381,70.656562
382,42.254798
383,46.027371
384,37.094504
385,51.878536
386,57.200172
387,41.360450
388,67.230096
389,41.658249
390,56.495800
391,45.092483
392,49.847200
393,42.272527
394,58.396751
395,47.238930
396,50.435960
397,35.762878
398,73.834045
399,52.446141
400,58.780678
401,25.381315
402,28.997795
403,65.486400
404,64.726135
405,50.696540
406,49.025951
407,49.322632
408,44.418241
409,39.835279
410,56.925132
411,44.265407
412,37.747404
413,58.817900
414,64.008629
415,57.489663
416,41.413564
417,38.124892
418,35.215559
419,50.462268
420,51.226236
421,43.023933
422,46.166504
423,39.192462
424,46.366185
425,57.331368
426,56.506501
427,50.676241
428,65.492509
429,52.260445
430,45.268375
431,46.069287
432,42.224990
433,43.107550
434,55.331987
435,53.965839
436,50.633381
437,46.754428
438,51.261779
439,32.693756
440,36.915207
441,87.246580
442,59.449580
443,56.241158
444,44.908068
445,56.410526
446,58.581056
447,52.459149
448,50.690498
449,52.997097
450,63.820701
451,40.930412
452,48.630348
453,53.894977
454,43.314340
455,51.069159
456,46.620180
457,78.199850
458,55.782935
459,53.298650
460,47.854797
461,51.186430
462,69.566231
463,43.584301
464,32.173746
465,54.649336
466,45.491449
467,43.300892
468,32.501703
469,32.089398
470,67.512211
471,51.020987
472,37.369506
473,47.725465
474,70.981126
475,68.124092
476,57.057440
477,49.191692
478,43.394068
479,42.829477
480,52.565143
481,30.685188
482,30.216602
483,41.204191
484,44.741071
485,68.129804
486,51.893006
487,67.496336
488,34.946881
489,49.297264
490,47.381008
491,43.350039
492,56.392022
493,54.656991
494,47.406933
495,36.800879
496,40.481121
497,62.450955
498,41.551658
499,54.525767
500,45.029364
501,37.969141
502,44.360726
503,44.385906
504,48.556228
505,64.572972
506,45.522765
507,56.258444
508,46.713000
509,42.258419
510,46.444314
511,34.944593
512,57.079938
513,52.147017
514,47.327950
515,33.060776
516,38.765680
517,60.430040
518,52.837615
519,48.944752
520,26.074692
521,44.778703
522,57.896079
523,54.773464
524,45.212385
525,35.974448
526,50.799902
527,42.887229
528,61.183162
529,43.564284
530,74.950648
531,43.332795
532,37.802255
533,41.083695
534,66.747180
535,49.735804
536,56.880544
537,41.989327
538,53.689950
539,47.802827
540,55.833752
541,54.982871
542,26.374570
543,49.918938
544,40.291365
545,47.000794
546,35.167941
547,42.658658
548,54.396275
549,60.353863
550,49.561611
551,19.544602
552,33.107574
553,30.112587
554,43.790394
555,35.298512
556,55.114902
557,54.448830
558,37.048900
559,55.675574
560,63.068806
561,51.401911
562,60.452361
563,33.282177
564,48.043075
565,49.072760
566,77.372773
567,44.486494
568,69.937454
569,36.907216
570,44.160885
571,48.700581
572,37.772004
573,28.450083
574,62.302607
575,67.870028
576,53.266537
577,41.332812
578,46.903221
579,63.852927
580,27.605437
581,41.599163
582,39.100182
583,46.531824
584,41.778106
585,42.745842
586,54.708544
587,46.641053
588,47.183693
589,62.924590
590,45.511054
591,55.344711
592,40.165344
593,49.887609
594,62.677183
595,33.611101
596,48.914895
597,40.476956
598,63.318140
599,43.130452
600,59.155821
601,50.998778
602,56.453819
603,34.976031
604,40.648224
605,54.079075
606,63.116395
607,55.272647
608,55.130406
609,54.381819
610,66.365542
611,49.575685
612,47.366362
613,61.874110
614,65.609441
615,52.276333
