index,MTTA
0,1148.385679601179
1,1148.6150215650046
2,1158.8675314089735
3,1159.628658400166
4,1160.3520626234067
5,1169.4303254681074
6,1212.077853130055
7,1258.8992150749884
8,1281.4613003425225
9,1301.5037918932499
