Institution,Cell ID,Form Factor,Cathode,Temperature (°C),Min SOC (%),Max SOC (%),Charge Rate (C),Discharge Rate (C),Group,Capacity (Ah),Charge Current (A),Discharge Current (A),Mean NCD1%,Std NCD1%,Full Filename
SNL,-,18650,NCA,25,0,100,0.5,1,a,3.20,1.6,3.2,6.595829939993599,15.008896536746438,3.20_SNL_18650_NCA_25C_0-100_0.5-1C_a_timeseries.csv
SNL,-,18650,NCA,25,0,100,0.5,1,b,3.20,1.6,3.2,5.262496554631387,17.567943828345697,3.20_SNL_18650_NCA_25C_0-100_0.5-1C_b_timeseries.csv
SNL,-,18650,NCA,25,0,100,0.5,1,c,3.20,1.6,3.2,5.262494438677146,12.205397753971157,3.20_SNL_18650_NCA_25C_0-100_0.5-1C_c_timeseries.csv
SNL,-,18650,NCA,25,0,100,0.5,1,d,3.20,1.6,3.2,6.595825752347492,28.32780470005231,3.20_SNL_18650_NCA_25C_0-100_0.5-1C_d_timeseries.csv
SNL,-,18650,NCA,25,0,100,0.5,2,a,3.20,1.6,6.4,7.929160293953072,28.287537601315975,3.20_SNL_18650_NCA_25C_0-100_0.5-2C_a_timeseries.csv
SNL,-,18650,NCA,25,0,100,0.5,2,b,3.20,1.6,6.4,7.929160130474839,18.13696201245052,3.20_SNL_18650_NCA_25C_0-100_0.5-2C_b_timeseries.csv
SNL,-,18650,NCA,25,20,80,0.5,0.5,a,3.20,1.6,1.6,1.8988186047009574,11.224775831498208,3.20_SNL_18650_NCA_25C_20-80_0.5-0.5C_a_timeseries.csv
SNL,-,18650,NCA,25,20,80,0.5,0.5,b,3.20,1.6,1.6,1.8887204509924675,10.077403842990462,3.20_SNL_18650_NCA_25C_20-80_0.5-0.5C_b_timeseries.csv
SNL,-,18650,NCA,25,20,80,0.5,0.5,c,3.20,1.6,1.6,13.040266553239755,38.33457771680746,3.20_SNL_18650_NCA_25C_20-80_0.5-0.5C_c_timeseries.csv
SNL,-,18650,NCA,25,20,80,0.5,0.5,d,3.20,1.6,1.6,15.434206645378886,39.821448479702255,3.20_SNL_18650_NCA_25C_20-80_0.5-0.5C_d_timeseries.csv
SNL,-,18650,NCA,25,40,60,0.5,0.5,a,3.20,1.6,1.6,82.89451564783964,803.4628439609415,3.20_SNL_18650_NCA_25C_40-60_0.5-0.5C_a_timeseries.csv
SNL,-,18650,NCA,25,40,60,0.5,0.5,b,3.20,1.6,1.6,62.66600639541559,613.6069559582479,3.20_SNL_18650_NCA_25C_40-60_0.5-0.5C_b_timeseries.csv
SNL,-,18650,NCA,35,0,100,0.5,1,a,3.20,1.6,3.2,5.191792632669689,33.43612599416522,3.20_SNL_18650_NCA_35C_0-100_0.5-1C_a_timeseries.csv
SNL,-,18650,NCA,35,0,100,0.5,1,b,3.20,1.6,3.2,3.3433116280496695,10.917548631157194,3.20_SNL_18650_NCA_35C_0-100_0.5-1C_b_timeseries.csv
SNL,-,18650,NCA,35,0,100,0.5,1,c,3.20,1.6,3.2,5.191790976003589,16.966335035275062,3.20_SNL_18650_NCA_35C_0-100_0.5-1C_c_timeseries.csv
SNL,-,18650,NCA,35,0,100,0.5,1,d,3.20,1.6,3.2,6.5567119284644235,32.612357147427154,3.20_SNL_18650_NCA_35C_0-100_0.5-1C_d_timeseries.csv
SNL,-,18650,NCA,35,0,100,0.5,2,a,3.20,1.6,6.4,6.595833185195719,19.81654025417505,3.20_SNL_18650_NCA_35C_0-100_0.5-2C_a_timeseries.csv
SNL,-,18650,NCA,35,0,100,0.5,2,b,3.20,1.6,6.4,7.929164560618094,42.09432064076596,3.20_SNL_18650_NCA_35C_0-100_0.5-2C_b_timeseries.csv
SNL,-,18650,NMC,15,0,100,0.5,1,a,3.00,1.5,3.0,2.5756080788147884,5.611109794883381,3.00_SNL_18650_NMC_15C_0-100_0.5-1C_a_timeseries.csv
SNL,-,18650,NMC,15,0,100,0.5,1,b,3.00,1.5,3.0,5.171536258103422,11.665644223484087,3.00_SNL_18650_NMC_15C_0-100_0.5-1C_b_timeseries.csv
SNL,-,18650,NMC,15,0,100,0.5,2,a,3.00,1.5,6.0,3.919035152351242,14.67455278657139,3.00_SNL_18650_NMC_15C_0-100_0.5-2C_a_timeseries.csv
SNL,-,18650,NMC,15,0,100,0.5,2,b,3.00,1.5,6.0,3.9190330149952595,8.443182040326757,3.00_SNL_18650_NMC_15C_0-100_0.5-2C_b_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,0.5,a,3.00,1.5,1.5,5.575757575757576,43.66365595415243,3.00_SNL_18650_NMC_25C_0-100_0.5-0.5C_a_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,0.5,b,3.00,1.5,1.5,6.848350347684569,20.07819316675493,3.00_SNL_18650_NMC_25C_0-100_0.5-0.5C_b_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,1,a,3.00,1.5,3.0,3.9190679297062276,12.309673702862698,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_a_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,1,b,3.00,1.5,3.0,7.919060509693641,20.956076746275865,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_b_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,1,c,3.00,1.5,3.0,3.9998707208604816,9.87379511677856,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_c_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,1,d,3.00,1.5,3.0,5.333200832107697,12.52247075223632,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_d_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,2,a,3.00,1.5,6.0,6.666532819359675,23.651865517635567,3.00_SNL_18650_NMC_25C_0-100_0.5-2C_a_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,2,b,3.00,1.5,6.0,1.3231167950954454,5.634269467063205,3.00_SNL_18650_NMC_25C_0-100_0.5-2C_b_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,3,a,3.00,1.5,9.0,7.363507249745001,20.400425973653885,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_a_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,3,b,3.00,1.5,9.0,5.565528758696199,17.241339503570384,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_b_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,3,c,3.00,1.5,9.0,7.040277302510678,21.870167537027093,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_c_timeseries.csv
SNL,-,18650,NMC,25,0,100,0.5,3,d,3.00,1.5,9.0,9.131183242627735,25.916089684391846,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_d_timeseries.csv
SNL,-,18650,NMC,25,20,80,0.5,0.5,a,3.00,1.5,1.5,33.69684794915812,194.03483286000088,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_a_timeseries.csv
SNL,-,18650,NMC,25,20,80,0.5,0.5,b,3.00,1.5,1.5,36.666539182315375,175.5701285422832,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_b_timeseries.csv
SNL,-,18650,NMC,25,20,80,0.5,0.5,c,3.00,1.5,1.5,6.312962869383103,61.89618627549378,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_c_timeseries.csv
SNL,-,18650,NMC,25,20,80,0.5,0.5,d,3.00,1.5,1.5,33.92916650864085,161.91372352583198,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_d_timeseries.csv
SNL,-,18650,NMC,25,20,80,0.5,3,a,3.00,1.5,9.0,36.454419297050435,219.56362580290536,3.00_SNL_18650_NMC_25C_20-80_0.5-3C_a_timeseries.csv
SNL,-,18650,NMC,25,20,80,0.5,3,b,3.00,1.5,9.0,10.055827997221323,41.68188483061135,3.00_SNL_18650_NMC_25C_20-80_0.5-3C_b_timeseries.csv
SNL,-,18650,NMC,25,40,60,0.5,0.5,a,3.00,1.5,1.5,113.74476206511572,1120.031498787885,3.00_SNL_18650_NMC_25C_40-60_0.5-0.5C_a_timeseries.csv
SNL,-,18650,NMC,25,40,60,0.5,0.5,b,3.00,1.5,1.5,93.05656505395498,916.2204418020362,3.00_SNL_18650_NMC_25C_40-60_0.5-0.5C_b_timeseries.csv
SNL,-,18650,NMC,25,40,60,0.5,3,a,3.00,1.5,9.0,133.14727540500735,1304.2387503712137,3.00_SNL_18650_NMC_25C_40-60_0.5-3C_a_timeseries.csv
SNL,-,18650,NMC,25,40,60,0.5,3,b,3.00,1.5,9.0,114.90702635590054,1125.6294493830069,3.00_SNL_18650_NMC_25C_40-60_0.5-3C_b_timeseries.csv
SNL,-,18650,NMC,35,0,100,0.5,1,a,3.00,1.5,3.0,6.59583338592085,30.091916373131316,3.00_SNL_18650_NMC_35C_0-100_0.5-1C_a_timeseries.csv
SNL,-,18650,NMC,35,0,100,0.5,1,b,3.00,1.5,3.0,7.929163594976655,39.25462836460292,3.00_SNL_18650_NMC_35C_0-100_0.5-1C_b_timeseries.csv
SNL,-,18650,NMC,35,0,100,0.5,1,c,3.00,1.5,3.0,7.919063896250208,23.339222573564086,3.00_SNL_18650_NMC_35C_0-100_0.5-1C_c_timeseries.csv
SNL,-,18650,NMC,35,0,100,0.5,1,d,3.00,1.5,3.0,7.929162817526923,76.4878212784374,3.00_SNL_18650_NMC_35C_0-100_0.5-1C_d_timeseries.csv
SNL,-,18650,NMC,35,0,100,0.5,2,a,3.00,1.5,6.0,6.595833805049247,20.5668791482007,3.00_SNL_18650_NMC_35C_0-100_0.5-2C_a_timeseries.csv
SNL,-,18650,NMC,35,0,100,0.5,2,b,3.00,1.5,6.0,2.585740075767452,9.025288806798935,3.00_SNL_18650_NMC_35C_0-100_0.5-2C_b_timeseries.csv
UL-PUR,CF10DPA,Pouch,NCA,25,0,100,1,1,n,3.40,3.4,3.4,5.060810521355437,44.28061363112048,3.40_UL-PUR_CF10DPA_pouch_NCA_25C_0-100_1-1C_n_timeseries_data.csv
UL-PUR,N10-EX9,18650,NCA,23,0,100,0.5,0.5,i,3.40,1.7,1.7,1.9946653590109358,7.386482204767988,3.40_UL-PUR_N10-EX9_18650_NCA_23C_0-100_0.5-0.5C_i_timeseries.csv
UL-PUR,N10-NA7,18650,NCA,23,0,100,0.5,0.5,g,3.40,1.7,1.7,2.297901097654722,11.946885765423316,3.40_UL-PUR_N10-NA7_18650_NCA_23C_0-100_0.5-0.5C_g_timeseries.csv
UL-PUR,N10-OV8,18650,NCA,23,0,100,0.5,0.5,h,3.40,1.7,1.7,2.020649734875873,13.02503860915193,3.40_UL-PUR_N10-OV8_18650_NCA_23C_0-100_0.5-0.5C_h_timeseries.csv
UL-PUR,N15-EX4,18650,NCA,23,0,100,0.5,0.5,d,3.40,1.7,1.7,2.4111378917341946,13.832989204530705,3.40_UL-PUR_N15-EX4_18650_NCA_23C_0-100_0.5-0.5C_d_timeseries.csv
UL-PUR,N15-NA10,18650,NCA,23,0,100,0.5,0.5,j,3.40,1.7,1.7,3.822944967460669,27.410508368447992,3.40_UL-PUR_N15-NA10_18650_NCA_23C_0-100_0.5-0.5C_j_timeseries.csv
UL-PUR,N15-OV3,18650,NCA,23,0,100,0.5,0.5,c,3.40,1.7,1.7,5.892583120204604,28.255998204954413,3.40_UL-PUR_N15-OV3_18650_NCA_23C_0-100_0.5-0.5C_c_timeseries.csv
UL-PUR,N20-EX2,18650,NCA,23,0,100,0.5,0.5,b,3.40,1.7,1.7,3.113259749446447,7.698616115003728,3.40_UL-PUR_N20-EX2_18650_NCA_23C_0-100_0.5-0.5C_b_timeseries.csv
UL-PUR,N20-NA5,18650,NCA,23,0,100,0.5,0.5,e,3.40,1.7,1.7,3.5804775247263927,15.424830491890049,3.40_UL-PUR_N20-NA5_18650_NCA_23C_0-100_0.5-0.5C_e_timeseries.csv
UL-PUR,N20-NA6,18650,NCA,23,0,100,0.5,0.5,f,3.40,1.7,1.7,5.525,15.540019990600255,3.40_UL-PUR_N20-NA6_18650_NCA_23C_0-100_0.5-0.5C_f_timeseries.csv
UL-PUR,N20-OV1,18650,NCA,23,0,100,0.5,0.5,a,3.40,1.7,1.7,3.1236327297131825,8.478384354785334,3.40_UL-PUR_N20-OV1_18650_NCA_23C_0-100_0.5-0.5C_a_timeseries.csv
UL-PUR,R10-EX6,18650,NCA,23,2.5,96.5,0.5,0.5,f,3.40,1.7,1.7,4.153655888706085,20.321826729373438,3.40_UL-PUR_R10-EX6_18650_NCA_23C_2.5-96.5_0.5-0.5C_f_timeseries.csv
UL-PUR,R10-NA11,18650,NCA,23,2.5,96.5,0.5,0.5,k,3.40,1.7,1.7,5.340371326197257,16.048641207779898,3.40_UL-PUR_R10-NA11_18650_NCA_23C_2.5-96.5_0.5-0.5C_k_timeseries.csv
UL-PUR,R10-OV5,18650,NCA,23,2.5,96.5,0.5,0.5,e,3.40,1.7,1.7,2.7432677790179505,15.174814571135068,3.40_UL-PUR_R10-OV5_18650_NCA_23C_2.5-96.5_0.5-0.5C_e_timeseries.csv
UL-PUR,R15-EX4,18650,NCA,23,2.5,96.5,0.5,0.5,d,3.40,1.7,1.7,14.377733598409542,48.23337477742744,3.40_UL-PUR_R15-EX4_18650_NCA_23C_2.5-96.5_0.5-0.5C_d_timeseries.csv
UL-PUR,R15-NA10,18650,NCA,23,2.5,96.5,0.5,0.5,j,3.40,1.7,1.7,8.213130848289614,60.40001144321147,3.40_UL-PUR_R15-NA10_18650_NCA_23C_2.5-96.5_0.5-0.5C_j_timeseries.csv
UL-PUR,R15-OV3,18650,NCA,23,2.5,96.5,0.5,0.5,c,3.40,1.7,1.7,8.859092645712733,44.551473114170385,3.40_UL-PUR_R15-OV3_18650_NCA_23C_2.5-96.5_0.5-0.5C_c_timeseries.csv
UL-PUR,R20-EX2,18650,NCA,23,2.5,96.5,0.5,0.5,b,3.40,1.7,1.7,8.176761940523138,62.45533608150465,3.40_UL-PUR_R20-EX2_18650_NCA_23C_2.5-96.5_0.5-0.5C_b_timeseries.csv
UL-PUR,R20-NA7,18650,NCA,23,2.5,96.5,0.5,0.5,g,3.40,1.7,1.7,20.05255868202362,78.86605376456225,3.40_UL-PUR_R20-NA7_18650_NCA_23C_2.5-96.5_0.5-0.5C_g_timeseries.csv
UL-PUR,R20-NA8,18650,NCA,23,2.5,96.5,0.5,0.5,h,3.40,1.7,1.7,7.110311677798016,60.76384768023411,3.40_UL-PUR_R20-NA8_18650_NCA_23C_2.5-96.5_0.5-0.5C_h_timeseries.csv
UL-PUR,R20-NA9,18650,NCA,23,2.5,96.5,0.5,0.5,i,3.40,1.7,1.7,7.280144003268549,67.88220452731835,3.40_UL-PUR_R20-NA9_18650_NCA_23C_2.5-96.5_0.5-0.5C_i_timeseries.csv
UL-PUR,R20-OV1,18650,NCA,23,2.5,96.5,0.5,0.5,a,3.40,1.7,1.7,9.59684278340812,57.45111211091935,3.40_UL-PUR_R20-OV1_18650_NCA_23C_2.5-96.5_0.5-0.5C_a_timeseries.csv
