Institution,Cell ID,Form Factor,Cathode,Temperature (°C),Min SOC (%),Max SOC (%),Charge Rate (C),Discharge Rate (C),Group
SNL,-,18650,LFP,15,0,100,0.5,1,a
SNL,-,18650,LFP,15,0,100,0.5,1,b
SNL,-,18650,LFP,15,0,100,0.5,2,a
SNL,-,18650,LFP,15,0,100,0.5,2,b
SNL,-,18650,LFP,25,0,100,0.5,0.5,a
SNL,-,18650,LFP,25,0,100,0.5,1,a
SNL,-,18650,LFP,25,0,100,0.5,1,b
SNL,-,18650,LFP,25,0,100,0.5,1,c
SNL,-,18650,LFP,25,0,100,0.5,1,d
SNL,-,18650,LFP,25,0,100,0.5,2,a
SNL,-,18650,LFP,25,0,100,0.5,2,b
SNL,-,18650,LFP,25,0,100,0.5,3,a
SNL,-,18650,LFP,25,0,100,0.5,3,b
SNL,-,18650,LFP,25,0,100,0.5,3,c
SNL,-,18650,LFP,25,0,100,0.5,3,d
SNL,-,18650,LFP,25,20,80,0.5,0.5,a
SNL,-,18650,LFP,25,20,80,0.5,0.5,b
SNL,-,18650,LFP,25,20,80,0.5,0.5,c
SNL,-,18650,LFP,25,20,80,0.5,0.5,d
SNL,-,18650,LFP,25,20,80,0.5,3,a
SNL,-,18650,LFP,25,40,60,0.5,0.5,a
SNL,-,18650,LFP,25,40,60,0.5,0.5,b
SNL,-,18650,LFP,25,40,60,0.5,3,a
SNL,-,18650,LFP,25,40,60,0.5,3,b
SNL,-,18650,LFP,35,0,100,0.5,1,a
SNL,-,18650,LFP,35,0,100,0.5,1,b
SNL,-,18650,LFP,35,0,100,0.5,1,c
SNL,-,18650,LFP,35,0,100,0.5,1,d
SNL,-,18650,LFP,35,0,100,0.5,2,a
SNL,-,18650,LFP,35,0,100,0.5,2,b
SNL,-,18650,NCA,15,0,100,0.5,1,a
SNL,-,18650,NCA,15,0,100,0.5,1,b
SNL,-,18650,NCA,15,0,100,0.5,2,a
SNL,-,18650,NCA,15,0,100,0.5,2,b
SNL,-,18650,NCA,25,0,100,0.5,0.5,a
SNL,-,18650,NCA,25,0,100,0.5,0.5,b
SNL,-,18650,NCA,25,0,100,0.5,1,a
SNL,-,18650,NCA,25,0,100,0.5,1,b
SNL,-,18650,NCA,25,0,100,0.5,1,c
SNL,-,18650,NCA,25,0,100,0.5,1,d
SNL,-,18650,NCA,25,0,100,0.5,2,a
SNL,-,18650,NCA,25,0,100,0.5,2,b
SNL,-,18650,NCA,25,20,80,0.5,0.5,a
SNL,-,18650,NCA,25,20,80,0.5,0.5,b
SNL,-,18650,NCA,25,20,80,0.5,0.5,c
SNL,-,18650,NCA,25,20,80,0.5,0.5,d
SNL,-,18650,NCA,25,40,60,0.5,0.5,a
SNL,-,18650,NCA,25,40,60,0.5,0.5,b
SNL,-,18650,NCA,35,0,100,0.5,1,a
SNL,-,18650,NCA,35,0,100,0.5,1,b
SNL,-,18650,NCA,35,0,100,0.5,1,c
SNL,-,18650,NCA,35,0,100,0.5,1,d
SNL,-,18650,NCA,35,0,100,0.5,2,a
SNL,-,18650,NCA,35,0,100,0.5,2,b
SNL,-,18650,NMC,15,0,100,0.5,1,a
SNL,-,18650,NMC,15,0,100,0.5,1,b
SNL,-,18650,NMC,15,0,100,0.5,2,a
SNL,-,18650,NMC,15,0,100,0.5,2,b
SNL,-,18650,NMC,25,0,100,0.5,0.5,a
SNL,-,18650,NMC,25,0,100,0.5,0.5,b
SNL,-,18650,NMC,25,0,100,0.5,1,a
SNL,-,18650,NMC,25,0,100,0.5,1,b
SNL,-,18650,NMC,25,0,100,0.5,1,c
SNL,-,18650,NMC,25,0,100,0.5,1,d
SNL,-,18650,NMC,25,0,100,0.5,2,a
SNL,-,18650,NMC,25,0,100,0.5,2,b
SNL,-,18650,NMC,25,0,100,0.5,3,a
SNL,-,18650,NMC,25,0,100,0.5,3,b
SNL,-,18650,NMC,25,0,100,0.5,3,c
SNL,-,18650,NMC,25,0,100,0.5,3,d
SNL,-,18650,NMC,25,20,80,0.5,0.5,a
SNL,-,18650,NMC,25,20,80,0.5,0.5,b
SNL,-,18650,NMC,25,20,80,0.5,0.5,c
SNL,-,18650,NMC,25,20,80,0.5,0.5,d
SNL,-,18650,NMC,25,20,80,0.5,3,a
SNL,-,18650,NMC,25,20,80,0.5,3,b
SNL,-,18650,NMC,25,40,60,0.5,0.5,a
SNL,-,18650,NMC,25,40,60,0.5,0.5,b
SNL,-,18650,NMC,25,40,60,0.5,3,a
SNL,-,18650,NMC,25,40,60,0.5,3,b
SNL,-,18650,NMC,35,0,100,0.5,1,a
SNL,-,18650,NMC,35,0,100,0.5,1,b
SNL,-,18650,NMC,35,0,100,0.5,1,c
SNL,-,18650,NMC,35,0,100,0.5,1,d
SNL,-,18650,NMC,35,0,100,0.5,2,a
SNL,-,18650,NMC,35,0,100,0.5,2,b
UL-PUR,CF10DPA,Pouch,NCA,25,0,100,1,1,n
UL-PUR,N10-EX9,18650,NCA,23,0,100,0.5,0.5,i
UL-PUR,N10-NA7,18650,NCA,23,0,100,0.5,0.5,g
UL-PUR,N10-OV8,18650,NCA,23,0,100,0.5,0.5,h
UL-PUR,N15-EX4,18650,NCA,23,0,100,0.5,0.5,d
UL-PUR,N15-NA10,18650,NCA,23,0,100,0.5,0.5,j
UL-PUR,N15-OV3,18650,NCA,23,0,100,0.5,0.5,c
UL-PUR,N20-EX2,18650,NCA,23,0,100,0.5,0.5,b
UL-PUR,N20-NA5,18650,NCA,23,0,100,0.5,0.5,e
UL-PUR,N20-NA6,18650,NCA,23,0,100,0.5,0.5,f
UL-PUR,N20-OV1,18650,NCA,23,0,100,0.5,0.5,a
UL-PUR,R10-EX6,18650,NCA,23,2.5,96.5,0.5,0.5,f
UL-PUR,R10-NA11,18650,NCA,23,2.5,96.5,0.5,0.5,k
UL-PUR,R10-OV5,18650,NCA,23,2.5,96.5,0.5,0.5,e
UL-PUR,R15-EX4,18650,NCA,23,2.5,96.5,0.5,0.5,d
UL-PUR,R15-NA10,18650,NCA,23,2.5,96.5,0.5,0.5,j
UL-PUR,R15-OV3,18650,NCA,23,2.5,96.5,0.5,0.5,c
UL-PUR,R20-EX2,18650,NCA,23,2.5,96.5,0.5,0.5,b
UL-PUR,R20-NA7,18650,NCA,23,2.5,96.5,0.5,0.5,g
UL-PUR,R20-NA8,18650,NCA,23,2.5,96.5,0.5,0.5,h
UL-PUR,R20-NA9,18650,NCA,23,2.5,96.5,0.5,0.5,i
UL-PUR,R20-OV1,18650,NCA,23,2.5,96.5,0.5,0.5,a
