,Full Filename,Charge Weighted Average (A),Discharge Weighted Average (A)
44,1.35_CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h_timeseries.csv,0.4359503366172144,-1.348311156321319
45,2.36_MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j_timeseries_data.csv,1.087371128037407,-1.8046262498322756
46,2.36_MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a_timeseries_data.csv,1.0120446043670788,-1.777628894558164
47,2.36_MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b_timeseries_data.csv,0.9801640880333184,-1.771953028421101
48,2.36_MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c_timeseries_data.csv,0.9754380119272366,-1.7694240108357038
49,2.36_MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d_timeseries_data.csv,0.9803164008492309,-1.7603216325159965
50,2.36_MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e_timeseries_data.csv,0.9920306609266387,-1.757976620115888
51,2.36_MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f_timeseries_data.csv,0.9990890089123915,-1.7547832336263967
52,2.36_MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g_timeseries_data.csv,0.9293136712999772,-1.682599427344676
53,2.36_MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h_timeseries_data.csv,0.9414076033732165,-1.7547784273990616
54,2.36_MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i_timeseries_data.csv,1.0014372082264853,-1.767720976200223
55,2.36_MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a_timeseries_data.csv,1.0346844646903866,-1.780119106773666
56,2.36_MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j_timeseries_data.csv,0.9351401770490904,-1.7456600816739358
57,2.36_MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b_timeseries_data.csv,1.0320101237904125,-1.746339224373965
58,2.36_MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c_timeseries_data.csv,1.140741640009583,-1.8173448877548688
59,2.36_MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d_timeseries_data.csv,1.0181447735308358,-1.740407141952879
60,2.36_MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e_timeseries_data.csv,1.046213927532071,-1.7882233073544471
61,2.36_MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f_timeseries_data.csv,1.0815575067265515,-1.8162394566939983
62,2.36_MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g_timeseries_data.csv,1.0519883613341343,-1.80673099685847
63,2.36_MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h_timeseries_data.csv,1.0658683948711145,-1.7813233152073225
64,2.36_MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i_timeseries_data.csv,0.6685770766675393,-1.4773478984565864
65,2.36_MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a_timeseries_data.csv,1.028035741733523,-1.7622566135301783
66,2.36_MICH_MCForm22_pouch_NMC_25C_0-100_1-1C_b_timeseries_data.csv,0.9274090998409544,-1.7026608526478058
67,2.36_MICH_MCForm23_pouch_NMC_25C_0-100_1-1C_c_timeseries_data.csv,0.9574594099973197,-1.7348866442801216
68,2.36_MICH_MCForm24_pouch_NMC_25C_0-100_1-1C_d_timeseries_data.csv,0.9843186534675433,-1.7492369575123727
69,2.36_MICH_MCForm25_pouch_NMC_25C_0-100_1-1C_e_timeseries_data.csv,0.9458956853062973,-1.718503557584993
70,2.36_MICH_MCForm26_pouch_NMC_25C_0-100_1-1C_f_timeseries_data.csv,0.9621706540241225,-1.7334792491999511
71,2.36_MICH_MCForm27_pouch_NMC_25C_0-100_1-1C_g_timeseries_data.csv,0.9488302265494665,-1.742376513344092
72,2.36_MICH_MCForm28_pouch_NMC_25C_0-100_1-1C_h_timeseries_data.csv,0.9294103786529574,-1.6991319595124423
73,2.36_MICH_MCForm29_pouch_NMC_25C_0-100_1-1C_i_timeseries_data.csv,0.9183767836308369,-1.682364266435658
74,2.36_MICH_MCForm30_pouch_NMC_25C_0-100_1-1C_j_timeseries_data.csv,0.9460938079371793,-1.7299531533873174
75,2.36_MICH_MCForm31_pouch_NMC_45C_0-100_1-1C_a_timeseries_data.csv,1.090236647524404,-1.815022564735691
76,2.36_MICH_MCForm32_pouch_NMC_45C_0-100_1-1C_b_timeseries_data.csv,1.123631672316524,-1.811195406158373
77,2.36_MICH_MCForm33_pouch_NMC_45C_0-100_1-1C_c_timeseries_data.csv,1.1255650678453015,-1.8102706799079944
78,2.36_MICH_MCForm34_pouch_NMC_45C_0-100_1-1C_d_timeseries_data.csv,1.1352060116617728,-1.8271712388773442
79,2.36_MICH_MCForm35_pouch_NMC_45C_0-100_1-1C_e_timeseries_data.csv,1.1456663233932465,-1.8311924940324276
80,2.36_MICH_MCForm36_pouch_NMC_45C_0-100_1-1C_f_timeseries_data.csv,1.081971583027443,-1.8077543823964934
81,2.36_MICH_MCForm37_pouch_NMC_45C_0-100_1-1C_g_timeseries_data.csv,1.1175465228449641,-1.8164342475107413
82,2.36_MICH_MCForm38_pouch_NMC_45C_0-100_1-1C_h_timeseries_data.csv,1.0717432610995306,-1.8094201092739495
83,2.36_MICH_MCForm39_pouch_NMC_45C_0-100_1-1C_i_timeseries_data.csv,1.1008893091033511,-1.8020895267315238
84,2.36_MICH_MCForm40_pouch_NMC_45C_0-100_1-1C_j_timeseries_data.csv,1.1076891433854463,-1.841157012136829
85,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a_timeseries.csv,0.7267537657617494,-2.257929259518019
86,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b_timeseries.csv,0.7010349637552044,-2.269810471677256
87,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c_timeseries.csv,0.7369187383841712,-2.3597613808890285
88,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d_timeseries.csv,0.7269627647414609,-2.278157163811867
89,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e_timeseries.csv,0.7084259257526052,-2.253966586508933
90,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f_timeseries.csv,0.6732539479560635,-2.3675261139843533
91,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g_timeseries.csv,0.6731124263529118,-2.2381823691007856
92,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j_timeseries.csv,0.723563962549392,-2.285653774479573
93,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l_timeseries.csv,0.7009030176574692,-2.3137642634842033
94,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_m_timeseries.csv,,
95,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n_timeseries.csv,0.7024608985856922,-2.320159261466404
96,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o_timeseries.csv,0.7105601735834183,-2.396819035537038
97,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p_timeseries.csv,0.7164981652464175,-2.3528124225814664
98,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s_timeseries.csv,0.6916954387018176,-2.294439131525973
99,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t_timeseries.csv,0.6757363119879678,-2.123981285898272
100,3.00_SNL_18650_NMC_15C_0-100_0.5-1C_a_timeseries.csv,1.212489999601948,-2.93266342275603
101,3.00_SNL_18650_NMC_15C_0-100_0.5-1C_b_timeseries.csv,1.2143237436340155,-2.9297410934120918
102,3.00_SNL_18650_NMC_15C_0-100_0.5-2C_a_timeseries.csv,1.2282829171427443,-5.4820159101898955
103,3.00_SNL_18650_NMC_15C_0-100_0.5-2C_b_timeseries.csv,1.2275656573651677,-5.484373197525052
104,3.00_SNL_18650_NMC_25C_0-100_0.5-0.5C_a_timeseries.csv,1.2137654902185349,-1.4997596983629478
105,3.00_SNL_18650_NMC_25C_0-100_0.5-0.5C_b_timeseries.csv,1.2076586060317447,-1.499665101750069
106,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_a_timeseries.csv,1.2068003067951378,-2.89757471914082
107,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_b_timeseries.csv,1.1861407584381278,-2.8892662007805607
108,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_c_timeseries.csv,1.195839744660724,-2.870592854266417
109,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_d_timeseries.csv,1.2031012438784567,-2.8659886421710814
110,3.00_SNL_18650_NMC_25C_0-100_0.5-2C_a_timeseries.csv,1.245140866036336,-5.269456139984464
111,3.00_SNL_18650_NMC_25C_0-100_0.5-2C_b_timeseries.csv,1.2153644780522534,-5.268718181634706
112,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_a_timeseries.csv,1.1963148633981275,-7.819896627884668
113,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_b_timeseries.csv,1.1817634968125723,-7.905741300644528
114,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_c_timeseries.csv,1.1696768232670762,-7.508737122625908
115,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_d_timeseries.csv,1.185584547894927,-7.819888237344857
116,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_a_timeseries.csv,1.4932744758669878,-1.50020830570176
117,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_b_timeseries.csv,1.4875702926254333,-1.4991329429440021
118,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_c_timeseries.csv,1.4936779511681297,-1.4990904737421944
119,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_d_timeseries.csv,1.4892457253705103,-1.4990290772057675
120,3.00_SNL_18650_NMC_25C_20-80_0.5-3C_a_timeseries.csv,0.9818335465330447,-2.0411738100691323
121,3.00_SNL_18650_NMC_25C_20-80_0.5-3C_b_timeseries.csv,1.48916771488857,-7.36900185837351
122,3.00_SNL_18650_NMC_25C_40-60_0.5-0.5C_a_timeseries.csv,1.488715992584226,-1.4999812964042056
123,3.00_SNL_18650_NMC_25C_40-60_0.5-0.5C_b_timeseries.csv,1.486100863325414,-1.4990085959524366
124,3.00_SNL_18650_NMC_25C_40-60_0.5-3C_a_timeseries.csv,1.4884122818988046,-7.057342150875056
125,3.00_SNL_18650_NMC_25C_40-60_0.5-3C_b_timeseries.csv,1.4902321637166636,-7.209546991929017
126,3.00_SNL_18650_NMC_35C_0-100_0.5-1C_a_timeseries.csv,1.2491222005714233,-2.8865454199628178
127,3.00_SNL_18650_NMC_35C_0-100_0.5-1C_b_timeseries.csv,1.251826503195383,-2.88518887625305
128,3.00_SNL_18650_NMC_35C_0-100_0.5-1C_c_timeseries.csv,1.237936096478293,-2.887936319798482
