,Institution,Charge Current (A),Discharge Current (A),Charge Weighted Average (A),Discharge Weighted Average (A),Charge Abs Difference,Discharge Abs Difference,Discharge Percentage Difference,Charge Percentage Difference,Full Filename
115,SNL,1.5,9.0,1.153081365301534,7.827505174827794,0.34691863469846607,1.1724948251722056,13.027720279691174,23.12790897989774,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_d_timeseries.csv
116,SNL,1.5,1.5,1.2743819854386835,1.5002084068767343,0.22561801456131647,0.0002084068767342906,0.013893791782286039,15.041200970754431,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_a_timeseries.csv
117,SNL,1.5,1.5,1.273357846754399,1.499132871750681,0.2266421532456011,0.0008671282493188937,0.05780854995459291,15.109476883040074,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_b_timeseries.csv
118,SNL,1.5,1.5,1.2893374906110897,1.499090209189767,0.2106625093889103,0.0009097908102329022,0.06065272068219348,14.04416729259402,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_c_timeseries.csv
119,SNL,1.5,1.5,1.2796642193813972,1.499029069718986,0.22033578061860282,0.0009709302810139153,0.06472868540092769,14.689052041240188,3.00_SNL_18650_NMC_25C_20-80_0.5-0.5C_d_timeseries.csv
120,SNL,1.5,9.0,0.8438627605048971,2.0377177522910386,0.6561372394951029,6.962282247708961,77.35869164121067,43.742482633006865,3.00_SNL_18650_NMC_25C_20-80_0.5-3C_a_timeseries.csv
121,SNL,1.5,9.0,1.2824119445465934,7.37708546259146,0.21758805545340665,1.6229145374085396,18.032383748983776,14.505870363560444,3.00_SNL_18650_NMC_25C_20-80_0.5-3C_b_timeseries.csv
122,SNL,1.5,1.5,1.0616565100282511,1.4999815165855888,0.4383434899717489,1.8483414411241128e-05,0.001232227627416075,29.222899331449923,3.00_SNL_18650_NMC_25C_40-60_0.5-0.5C_a_timeseries.csv
123,SNL,1.5,1.5,1.0603265297995317,1.4990085850461632,0.4396734702004683,0.000991414953836811,0.0660943302557874,29.31156468003122,3.00_SNL_18650_NMC_25C_40-60_0.5-0.5C_b_timeseries.csv
124,SNL,1.5,9.0,1.060166729113364,7.065431519485036,0.43983327088663593,1.9345684805149643,21.49520533905516,29.322218059109062,3.00_SNL_18650_NMC_25C_40-60_0.5-3C_a_timeseries.csv
