SimulationID,MTTA
1,3413.136534
2,4206.901621
3,4465.802051
4,3904.965579
5,3952.009319
6,3870.141795
7,3798.856897
8,3837.132129
9,3779.652715
10,4257.011775
11,3464.058354
12,3489.359766
13,3668.736849
14,3550.401805
15,4429.958319
16,3874.055032
17,3991.526708
18,3871.250805
19,3736.440494
20,3940.803022
21,3580.215566
22,3897.639512
23,3844.675318
24,3700.694675
25,3868.316742
26,3678.163516
27,3823.712586
28,3640.528250
29,4056.185716
30,3643.390371
31,3832.910874
32,3446.249458
33,4049.859914
34,3737.439220
35,3899.649412
36,3694.537948
37,3716.415868
38,3355.604361
39,4092.257386
40,4095.325690
41,3951.150292
42,4015.377329
43,3704.641280
44,3395.558246
45,3669.537753
46,3461.749170
47,3769.935709
48,3606.600225
49,3537.218118
50,4345.216144
51,3875.821595
52,3717.040246
53,3785.825102
54,3545.767400
55,4023.631799
56,3979.607008
57,4237.252165
58,3974.663892
59,3427.604949
60,3798.143254
61,3827.339599
62,3730.662646
63,3673.144682
64,4135.238215
65,3601.995040
66,3858.633606
67,3793.862812
68,3559.581024
69,3801.273501
70,3576.344186
71,3522.421389
72,3476.694306
73,4165.751515
74,3599.317981
75,3817.903969
76,3977.975498
77,3831.128685
78,3591.054962
79,3635.131265
80,4167.082574
81,3612.395957
82,3678.144629
83,3551.941474
84,3708.136050
85,3760.962866
86,3678.985129
87,4013.056445
88,3731.981678
89,3821.729586
90,3558.468127
91,3504.631307
92,3803.074259
93,3880.933055
94,3450.811358
95,3649.788043
96,4102.202789
97,3619.922760
98,3916.888926
99,3908.196484
100,3883.033271
101,3673.211492
102,4070.501057
103,3605.384924
104,3801.441288
105,3756.195927
106,4241.075626
107,4064.726580
108,3719.934741
109,3938.027493
110,3523.038414
111,3946.784063
112,3783.729992
113,4060.362794
114,3466.991103
115,3914.432148
116,3641.941548
117,4040.348172
118,3785.681218
119,3827.089002
120,3487.387645
121,3319.700542
122,3452.747003
123,3717.308887
124,3786.973011
125,4189.488459
126,3630.542183
127,3783.704499
128,3396.334809
129,3942.659984
130,3736.061351
131,3827.036672
132,4021.524022
133,3701.451224
134,3783.213623
135,4174.976989
136,3791.832998
137,3869.688866
138,3763.936309
139,3734.774788
140,3678.526797
141,3923.040682
142,3361.498620
143,3781.881320
144,3750.340426
145,3862.225206
146,4002.671799
147,3428.920464
148,3845.213310
149,3777.314682
150,3620.950957
151,3660.980643
152,3499.122531
153,3417.745918
154,3790.879800
155,3797.550680
156,3450.634444
157,3871.901782
158,4006.337997
159,3592.762371
160,3586.525748
161,3890.732264
162,3583.651986
163,3887.337558
164,3825.402539
165,3899.936441
166,3766.215892
167,3865.012622
168,3559.558223
169,3912.682350
170,3714.862801
171,4139.706807
172,3882.905025
173,3972.099449
174,3708.620454
175,3682.605956
176,3905.788482
177,3470.145391
178,3817.425089
179,3653.539428
180,3492.133644
181,3654.906795
182,4001.009284
183,3604.868263
184,3765.045586
185,3668.306653
186,3834.732369
187,3928.212703
188,3907.074127
189,3805.386189
190,3634.873058
191,3826.918570
192,3416.741824
193,3703.591005
194,4024.389871
195,3851.165488
196,3948.035085
197,3945.344236
198,3802.881707
199,3631.162237
200,3664.132979
201,3772.487788
202,3502.636836
203,3759.483496
204,3956.189653
205,3725.408174
206,3770.749209
207,3846.509442
208,3707.652585
209,3719.372566
210,4376.959427
211,3516.675652
212,3726.221909
213,3638.950361
214,3687.201408
215,4275.222222
216,3779.851004
217,4284.655669
218,3551.436015
219,3750.603203
220,3843.060179
221,3314.718699
222,3861.121413
223,3868.939368
224,3670.969758
225,4049.690971
226,3794.493842
227,3819.906588
228,3492.454995
229,4201.528382
230,3891.003388
231,3776.032340
232,3798.601233
233,3811.874934
234,4034.569560
235,3740.631263
236,3879.703316
237,3918.225928
238,3998.670525
239,3605.574816
240,3759.095281
241,3883.795785
242,4066.926686
243,4019.928264
244,3978.658997
245,3911.737396
246,3889.815159
247,3532.876277
248,3533.336523
249,3857.105576
250,3766.754382
251,3785.850381
252,3559.776104
253,3832.085617
254,3931.053039
255,3559.945907
256,3850.876502
257,3750.351623
258,3850.316804
259,3682.298754
260,3804.509487
261,4080.934106
262,3531.096351
263,3730.597524
264,3801.441878
265,3664.394616
266,3516.373124
267,3548.308908
268,4127.797839
269,4109.514962
270,3676.390300
271,3577.997289
272,3808.978932
273,3882.993269
274,3742.988063
275,3773.006251
276,3660.481900
277,4112.092835
278,3796.563254
279,3504.311072
280,3398.604631
281,3698.899968
282,3753.586434
283,3531.239881
284,4329.689529
285,3440.135761
286,3476.823247
287,3714.534858
288,3595.616853
289,4238.712522
290,3462.743765
291,3691.518228
292,3788.642764
293,4341.663580
294,3749.376426
295,3476.366921
296,3708.044277
297,3889.230080
298,4615.120439
299,3729.341949
300,3676.618214
301,3947.061001
302,3456.683387
303,3640.465972
304,3897.435085
305,3775.923132
306,3712.751084
307,3708.992453
308,3670.752767
309,3827.504979
310,3349.676064
311,3598.276426
312,3537.293367
313,3838.503029
314,3544.901159
315,4023.089009
316,4134.231941
317,3838.703071
318,3434.027878
319,3545.086727
320,4027.119581
321,3683.524478
322,3558.821177
323,3910.294920
324,3454.191805
325,3832.400596
326,3705.931008
327,4114.681243
328,3904.444535
329,3695.210575
330,3561.370740
331,3791.550724
332,3421.333139
333,3816.897678
334,3740.732677
335,3495.900083
336,3714.302983
337,3561.016724
338,3724.187180
339,3596.273661
340,4069.955849
341,3553.102079
342,3702.884387
343,3622.039873
344,3625.478135
345,3836.179065
346,3982.308300
347,3728.077378
348,3903.520807
349,4010.479391
350,3687.538171
351,4003.977082
352,3802.169542
353,4077.116884
354,3802.042779
355,3988.275367
356,3879.264051
357,3730.767889
358,3497.440743
359,3595.608564
360,3996.004216
361,3588.346645
362,3397.415506
363,3623.405423
364,3831.370461
365,3745.900890
366,3598.699230
367,3448.009652
368,3867.332833
369,4339.090594
370,3483.059668
371,3814.669723
372,3839.357305
373,3633.601539
374,3624.141639
375,4050.571446
376,3896.980264
377,3790.287783
378,3680.483255
379,3390.222988
